disassembled_number_of_lines,disassembled_line_length_49,disassembled_line_length_56,disassembled_line_length_44,disassembled_line_length_55,disassembled_line_length_43,disassembled_line_length_62,disassembled_line_length_59,disassembled_line_length_45,disassembled_line_length_63
39871.0,4780.0,2621.0,6619.0,1883.0,675.0,295.0,196.0,423.0,88.0
232155.0,49941.0,16336.0,51977.0,8934.0,3055.0,1194.0,648.0,1601.0,428.0
105939.0,8945.0,4408.0,9352.0,3979.0,1824.0,378.0,197.0,2103.0,552.0
869480.0,108731.0,79139.0,127169.0,42062.0,23775.0,11743.0,8475.0,11484.0,4519.0
1576618.0,146484.0,122863.0,282820.0,113365.0,18388.0,8060.0,2904.0,3504.0,2785.0
10177.0,1066.0,638.0,2332.0,298.0,48.0,52.0,10.0,83.0,3.0
134076.0,14671.0,8376.0,43479.0,1930.0,763.0,406.0,230.0,1079.0,203.0
504229.0,75129.0,35779.0,83901.0,42734.0,2008.0,2465.0,1384.0,3561.0,643.0
275587.0,37080.0,21161.0,47993.0,19394.0,1310.0,766.0,260.0,550.0,264.0
39038.0,4418.0,2371.0,6238.0,1381.0,636.0,240.0,187.0,433.0,84.0
492173.0,59618.0,43386.0,78395.0,24497.0,12466.0,6279.0,4388.0,6395.0,2422.0
1576622.0,146486.0,122863.0,282820.0,113366.0,18388.0,8060.0,2904.0,3504.0,2785.0
1311624.0,125853.0,101795.0,143192.0,52266.0,36288.0,11294.0,8306.0,11131.0,4587.0
15396.0,3261.0,1345.0,2160.0,614.0,357.0,176.0,122.0,186.0,55.0
5050.0,511.0,335.0,947.0,178.0,34.0,26.0,12.0,46.0,4.0
477194.0,62510.0,33989.0,80130.0,33342.0,3889.0,1559.0,1439.0,1319.0,427.0
7433.0,850.0,581.0,1207.0,293.0,176.0,93.0,52.0,75.0,19.0
42454.0,9511.0,2957.0,6068.0,1470.0,627.0,319.0,224.0,522.0,118.0
1576618.0,146482.0,122864.0,282821.0,113366.0,18388.0,8060.0,2904.0,3504.0,2786.0
663915.0,84215.0,42803.0,120779.0,47704.0,6182.0,3425.0,1819.0,5107.0,943.0
1054003.0,118389.0,91628.0,143374.0,47571.0,27355.0,12207.0,8830.0,11960.0,4760.0
1359772.0,346868.0,117205.0,189906.0,94231.0,10629.0,14446.0,3246.0,12616.0,1375.0
32736.0,6317.0,2210.0,3668.0,594.0,223.0,69.0,42.0,224.0,19.0
1044964.0,111135.0,85049.0,117094.0,44533.0,29438.0,11295.0,8233.0,10490.0,4374.0
695059.0,85986.0,62628.0,104651.0,34015.0,18450.0,9194.0,6479.0,9117.0,3561.0
140915.0,4029.0,2930.0,10478.0,1171.0,433.0,270.0,153.0,707.0,68.0
62971.0,6192.0,4240.0,7972.0,1620.0,923.0,267.0,97.0,294.0,55.0
2831.0,216.0,199.0,631.0,95.0,22.0,9.0,3.0,25.0,0.0
38934.0,4758.0,2502.0,6565.0,1872.0,656.0,253.0,150.0,431.0,78.0
673846.0,60154.0,43805.0,146850.0,24298.0,8489.0,4775.0,3450.0,5279.0,1927.0
2835.0,221.0,200.0,636.0,94.0,22.0,9.0,4.0,25.0,0.0
1140883.0,144413.0,105002.0,161639.0,54624.0,31973.0,15778.0,11289.0,15364.0,6010.0
55649.0,7376.0,2982.0,10329.0,3276.0,293.0,325.0,143.0,609.0,92.0
542876.0,67826.0,38668.0,87100.0,35017.0,5151.0,1994.0,1854.0,2274.0,650.0
15398.0,2694.0,589.0,2770.0,842.0,33.0,48.0,35.0,89.0,16.0
363392.0,40363.0,33921.0,55848.0,6066.0,4754.0,3235.0,963.0,4915.0,562.0
15187.0,2797.0,583.0,2863.0,842.0,70.0,53.0,87.0,135.0,8.0
25867.0,4696.0,1301.0,3394.0,776.0,319.0,145.0,121.0,394.0,42.0
198282.0,28076.0,23605.0,31482.0,4697.0,2499.0,2540.0,819.0,2926.0,582.0
178233.0,26028.0,11381.0,26500.0,15288.0,1596.0,1226.0,563.0,1668.0,361.0
14014.0,2672.0,601.0,2595.0,868.0,46.0,52.0,30.0,56.0,12.0
666131.0,86478.0,42770.0,119914.0,47970.0,6313.0,3650.0,1837.0,5182.0,975.0
1185148.0,107928.0,89469.0,123250.0,47628.0,33127.0,8946.0,6473.0,8646.0,3646.0
301760.0,31516.0,25641.0,44752.0,4969.0,4398.0,2438.0,811.0,3929.0,409.0
14826.0,2869.0,652.0,2759.0,872.0,39.0,43.0,26.0,42.0,8.0
13122.0,2624.0,553.0,2549.0,823.0,33.0,39.0,25.0,41.0,8.0
14700.0,2639.0,557.0,2704.0,837.0,47.0,40.0,26.0,43.0,8.0
592457.0,73755.0,27998.0,68066.0,28517.0,5651.0,1849.0,1190.0,4751.0,804.0
14897.0,2781.0,643.0,2634.0,903.0,37.0,68.0,30.0,58.0,10.0
300036.0,31284.0,25363.0,44384.0,4961.0,4377.0,2432.0,801.0,3934.0,409.0
14312.0,2726.0,608.0,2773.0,841.0,46.0,44.0,34.0,81.0,13.0
14659.0,2808.0,664.0,2692.0,852.0,78.0,44.0,36.0,118.0,12.0
1101474.0,139041.0,101286.0,156787.0,52807.0,30735.0,15241.0,10867.0,14739.0,5826.0
13043.0,2643.0,542.0,2543.0,825.0,27.0,47.0,19.0,37.0,9.0
14702.0,2692.0,639.0,2591.0,984.0,35.0,45.0,27.0,47.0,8.0
13684.0,2630.0,556.0,2554.0,823.0,36.0,39.0,25.0,104.0,8.0
14784.0,2744.0,627.0,2699.0,879.0,69.0,55.0,30.0,51.0,9.0
55426.0,6377.0,3103.0,9743.0,2507.0,232.0,281.0,73.0,551.0,81.0
241041.0,34765.0,27932.0,39569.0,6175.0,2962.0,2966.0,1147.0,3918.0,615.0
223297.0,31521.0,25481.0,36411.0,5318.0,2792.0,2851.0,983.0,3442.0,557.0
642441.0,70889.0,46599.0,92326.0,39620.0,4728.0,2658.0,2017.0,3032.0,859.0
717506.0,54471.0,13547.0,28667.0,29360.0,7049.0,886.0,2016.0,2102.0,366.0
13122.0,2624.0,553.0,2549.0,823.0,33.0,39.0,25.0,41.0,8.0
15307.0,2811.0,552.0,2622.0,823.0,36.0,39.0,35.0,42.0,8.0
103940.0,6356.0,2824.0,7321.0,2236.0,3998.0,737.0,657.0,589.0,413.0
37804.0,2794.0,5452.0,7149.0,1214.0,233.0,134.0,186.0,577.0,34.0
48668.0,7697.0,8261.0,8284.0,2306.0,458.0,251.0,251.0,492.0,96.0
81738.0,7455.0,10092.0,14010.0,3042.0,1084.0,528.0,470.0,913.0,208.0
450096.0,58584.0,32592.0,76474.0,32095.0,2784.0,1219.0,1219.0,990.0,319.0
24189.0,2173.0,2290.0,2556.0,653.0,539.0,189.0,120.0,146.0,56.0
42438.0,9490.0,2975.0,6100.0,1471.0,640.0,285.0,243.0,526.0,134.0
45515.0,3252.0,6985.0,9392.0,1373.0,293.0,210.0,197.0,696.0,48.0
13991.0,2684.0,582.0,2615.0,847.0,39.0,39.0,30.0,76.0,18.0
224959.0,31812.0,25604.0,36724.0,5373.0,2791.0,2837.0,1081.0,3528.0,577.0
2840.0,217.0,200.0,639.0,96.0,23.0,9.0,3.0,25.0,0.0
2835.0,224.0,203.0,633.0,95.0,22.0,9.0,3.0,25.0,0.0
151506.0,21700.0,9942.0,23391.0,8201.0,1448.0,751.0,314.0,980.0,246.0
14683.0,2662.0,579.0,2644.0,828.0,77.0,40.0,30.0,49.0,12.0
15097.0,2679.0,553.0,2613.0,828.0,33.0,39.0,47.0,41.0,8.0
45538.0,3277.0,6986.0,9382.0,1358.0,297.0,205.0,204.0,699.0,44.0
45562.0,3282.0,7001.0,9376.0,1349.0,300.0,211.0,204.0,692.0,44.0
14548.0,2741.0,679.0,2736.0,861.0,44.0,53.0,37.0,108.0,14.0
37685.0,6244.0,6941.0,6875.0,1789.0,126.0,85.0,144.0,353.0,47.0
14471.0,2679.0,573.0,2603.0,828.0,33.0,39.0,43.0,41.0,8.0
45528.0,3259.0,7013.0,9354.0,1346.0,304.0,211.0,210.0,691.0,45.0
114433.0,9221.0,6701.0,11615.0,4447.0,2422.0,884.0,848.0,972.0,423.0
8874.0,2225.0,442.0,1182.0,124.0,117.0,89.0,65.0,74.0,11.0
15084.0,2731.0,699.0,2721.0,856.0,38.0,44.0,30.0,95.0,14.0
143748.0,11124.0,11065.0,25965.0,3393.0,1729.0,612.0,753.0,1105.0,353.0
879034.0,134777.0,50590.0,111232.0,34757.0,8677.0,3115.0,1505.0,6375.0,948.0
717506.0,54471.0,13547.0,28667.0,29360.0,7049.0,886.0,2016.0,2102.0,366.0
15097.0,1798.0,1359.0,2095.0,648.0,379.0,176.0,104.0,223.0,48.0
37871.0,6264.0,6873.0,6851.0,1807.0,129.0,98.0,132.0,371.0,43.0
14412.0,2774.0,651.0,2625.0,866.0,52.0,54.0,34.0,97.0,14.0
151444.0,21682.0,9969.0,23364.0,8204.0,1442.0,752.0,303.0,970.0,247.0
37603.0,6292.0,7168.0,6783.0,1803.0,124.0,91.0,135.0,338.0,52.0
9247.0,779.0,549.0,1068.0,653.0,186.0,32.0,44.0,67.0,22.0
547584.0,32142.0,14981.0,39821.0,11568.0,13059.0,1001.0,721.0,3815.0,435.0
2840.0,219.0,200.0,638.0,94.0,22.0,9.0,3.0,26.0,0.0
287603.0,40334.0,33609.0,47285.0,6361.0,3038.0,3595.0,1171.0,4510.0,653.0
14934.0,1754.0,1285.0,2156.0,606.0,411.0,197.0,108.0,176.0,74.0
114433.0,9221.0,6701.0,11615.0,4447.0,2422.0,884.0,848.0,972.0,423.0
1576621.0,146486.0,122863.0,282823.0,113365.0,18388.0,8060.0,2904.0,3504.0,2785.0
14654.0,2787.0,655.0,2692.0,860.0,57.0,52.0,49.0,99.0,13.0
114433.0,9221.0,6701.0,11615.0,4447.0,2422.0,884.0,848.0,972.0,423.0
1153506.0,117215.0,110308.0,136491.0,45549.0,26868.0,12556.0,8613.0,13529.0,5403.0
586421.0,75442.0,71277.0,97137.0,11938.0,4887.0,4964.0,1651.0,10209.0,1057.0
666136.0,86472.0,42769.0,119918.0,47967.0,6318.0,3651.0,1837.0,5182.0,977.0
1166258.0,114929.0,48376.0,119268.0,36989.0,15232.0,7212.0,3219.0,9520.0,2518.0
14549.0,1743.0,1150.0,2752.0,545.0,100.0,48.0,27.0,235.0,25.0
9554.0,677.0,367.0,996.0,243.0,151.0,68.0,19.0,147.0,9.0
37580.0,6295.0,7206.0,6751.0,1791.0,133.0,94.0,142.0,343.0,48.0
43152.0,3299.0,6871.0,8200.0,1427.0,297.0,125.0,190.0,572.0,32.0
162560.0,21610.0,23129.0,24464.0,4953.0,2941.0,1700.0,808.0,2652.0,553.0
44758.0,3353.0,7580.0,8795.0,1414.0,274.0,111.0,223.0,640.0,33.0
15040.0,2756.0,640.0,2744.0,854.0,66.0,50.0,45.0,107.0,15.0
11365.0,512.0,1002.0,1102.0,141.0,403.0,175.0,11.0,188.0,152.0
7323.0,762.0,207.0,645.0,131.0,160.0,20.0,15.0,113.0,12.0
163220.0,21571.0,23123.0,24566.0,5190.0,3029.0,1669.0,758.0,2658.0,555.0
287311.0,40508.0,33675.0,47223.0,6301.0,3091.0,3555.0,1129.0,4475.0,671.0
14029.0,2694.0,575.0,2649.0,831.0,51.0,42.0,29.0,46.0,11.0
37892.0,2779.0,5447.0,7161.0,1229.0,232.0,126.0,185.0,572.0,36.0
55803.0,7386.0,2997.0,10360.0,3294.0,299.0,327.0,145.0,610.0,92.0
45140.0,3199.0,6889.0,9363.0,1352.0,330.0,199.0,192.0,713.0,46.0
15468.0,3296.0,1332.0,2192.0,620.0,358.0,199.0,129.0,197.0,56.0
37610.0,6221.0,6919.0,6865.0,1806.0,136.0,80.0,149.0,326.0,44.0
14902.0,2900.0,609.0,2578.0,839.0,233.0,50.0,30.0,51.0,11.0
11718.0,776.0,446.0,1120.0,270.0,209.0,84.0,19.0,161.0,7.0
