disassembled_line_length_64,disassembled_line_length_62,disassembled_line_length_59,disassembled_line_length_73,disassembled_line_length_72,disassembled_line_length_63,disassembled_line_length_38,disassembled_line_length_69,disassembled_line_length_80,disassembled_line_length_37,disassembled_line_length_81
258.0,1559.0,1439.0,56.0,49.0,427.0,672.0,83.0,3.0,4.0,0.0
16.0,93.0,52.0,2.0,5.0,19.0,21.0,9.0,0.0,0.0,0.0
71.0,319.0,224.0,13.0,9.0,118.0,56.0,33.0,3.0,0.0,0.0
746.0,8060.0,2904.0,204.0,110.0,2786.0,236.0,348.0,4.0,10.0,0.0
441.0,3425.0,1819.0,58.0,34.0,943.0,66.0,201.0,7.0,9.0,18.0
1743.0,12207.0,8830.0,560.0,220.0,4760.0,3380.0,1838.0,72.0,104.0,54.0
781.0,14446.0,3246.0,130.0,66.0,1375.0,659.0,408.0,11.0,21.0,2.0
28.0,69.0,42.0,7.0,3.0,19.0,4.0,3.0,0.0,0.0,0.0
1607.0,11295.0,8233.0,520.0,212.0,4374.0,3083.0,1697.0,69.0,107.0,52.0
1338.0,9194.0,6479.0,426.0,167.0,3561.0,2474.0,1355.0,52.0,85.0,42.0
45.0,270.0,153.0,7.0,5.0,68.0,64.0,7.0,1.0,0.0,0.0
30.0,267.0,97.0,9.0,10.0,55.0,28.0,14.0,0.0,0.0,0.0
4.0,9.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
62.0,253.0,150.0,9.0,12.0,78.0,48.0,23.0,0.0,3.0,0.0
734.0,4775.0,3450.0,189.0,84.0,1927.0,1074.0,595.0,20.0,26.0,16.0
4.0,9.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2133.0,15778.0,11289.0,758.0,287.0,6010.0,4235.0,2377.0,90.0,139.0,73.0
136.0,325.0,143.0,9.0,8.0,92.0,10.0,8.0,0.0,2.0,0.0
325.0,1994.0,1854.0,73.0,56.0,650.0,893.0,220.0,3.0,8.0,7.0
13.0,48.0,35.0,6.0,2.0,16.0,8.0,1.0,0.0,0.0,0.0
157.0,3235.0,963.0,26.0,14.0,562.0,239.0,100.0,2.0,9.0,4.0
9.0,53.0,87.0,6.0,2.0,8.0,9.0,1.0,0.0,0.0,0.0
48.0,145.0,121.0,6.0,6.0,42.0,26.0,15.0,0.0,1.0,0.0
147.0,2540.0,819.0,56.0,15.0,582.0,259.0,156.0,3.0,14.0,3.0
131.0,1226.0,563.0,20.0,15.0,361.0,126.0,68.0,3.0,3.0,0.0
10.0,52.0,30.0,6.0,2.0,12.0,7.0,5.0,0.0,0.0,0.0
439.0,3650.0,1837.0,58.0,34.0,975.0,82.0,204.0,7.0,13.0,18.0
1168.0,8946.0,6473.0,429.0,176.0,3646.0,2604.0,1357.0,56.0,95.0,42.0
149.0,2438.0,811.0,24.0,13.0,409.0,186.0,96.0,2.0,9.0,3.0
9.0,43.0,26.0,6.0,2.0,8.0,4.0,1.0,0.0,0.0,0.0
9.0,39.0,25.0,6.0,2.0,8.0,4.0,1.0,0.0,0.0,0.0
9.0,40.0,26.0,6.0,2.0,8.0,6.0,1.0,0.0,0.0,0.0
917.0,1849.0,1190.0,27.0,13.0,804.0,108.0,70.0,0.0,9.0,2.0
9.0,68.0,30.0,6.0,2.0,10.0,5.0,2.0,0.0,0.0,1.0
132.0,2432.0,801.0,30.0,13.0,409.0,208.0,113.0,4.0,8.0,1.0
15.0,44.0,34.0,6.0,2.0,13.0,7.0,1.0,0.0,0.0,0.0
12.0,44.0,36.0,6.0,2.0,12.0,7.0,1.0,0.0,0.0,0.0
2069.0,15241.0,10867.0,737.0,275.0,5826.0,4111.0,2291.0,90.0,134.0,72.0
9.0,47.0,19.0,6.0,2.0,9.0,5.0,1.0,0.0,0.0,0.0
10.0,45.0,27.0,6.0,2.0,8.0,6.0,2.0,0.0,0.0,0.0
9.0,39.0,25.0,6.0,2.0,8.0,4.0,1.0,0.0,0.0,0.0
10.0,55.0,30.0,6.0,2.0,9.0,6.0,2.0,0.0,0.0,0.0
66.0,281.0,73.0,8.0,6.0,81.0,8.0,4.0,0.0,0.0,0.0
216.0,2966.0,1147.0,63.0,19.0,615.0,313.0,154.0,6.0,9.0,5.0
205.0,2851.0,983.0,42.0,22.0,557.0,306.0,160.0,5.0,10.0,2.0
444.0,2658.0,2017.0,111.0,54.0,859.0,896.0,417.0,9.0,8.0,7.0
375.0,886.0,2016.0,68.0,103.0,366.0,642.0,138.0,3.0,9.0,7.0
9.0,39.0,25.0,6.0,2.0,8.0,4.0,1.0,0.0,0.0,0.0
9.0,39.0,35.0,6.0,2.0,8.0,4.0,1.0,0.0,0.0,0.0
9.0,737.0,657.0,0.0,1.0,413.0,5.0,10.0,0.0,0.0,0.0
15.0,134.0,186.0,1.0,2.0,34.0,54.0,16.0,0.0,0.0,0.0
27.0,251.0,251.0,10.0,6.0,96.0,71.0,33.0,1.0,1.0,0.0
69.0,528.0,470.0,14.0,8.0,208.0,128.0,59.0,3.0,5.0,1.0
